objid,category,frame,reason
1237673808655810662,frame contamination,6597/4/188,target adjacent to a saturated bright star; cutout contaminated by its halo/spikes
1237668270822588447,frame contamination,5308/1/39,target adjacent to a saturated bright star; cutout contaminated by its halo/spikes
1237657855543738420,frame contamination,2883/1/296,elevated g-band sky 0.063 makes whole frame blue (sky anomaly) + blue satellite trail
1237657855543738499,frame contamination,2883/1/296,elevated g-band sky 0.063 makes whole frame blue (sky anomaly) + blue satellite trail
1237657855543738502,frame contamination,2883/1/296,elevated g-band sky 0.063 makes whole frame blue (sky anomaly) + blue satellite trail
1237657855543738531,frame contamination,2883/1/296,elevated g-band sky 0.063 makes whole frame blue (sky anomaly) + blue satellite trail
1237662195077677077,frame contamination,3893/4/393,target adjacent to a saturated bright star; cutout contaminated by its halo/spikes
1237662640656285819,frame contamination,3997/2/23,target adjacent to a saturated bright star; cutout contaminated by its halo/spikes
1237663542609773133,frame contamination,4207/2/181,scattered-light gradient (top-right; brighter/tinted background) covering target cutout
1237652943706522213,frame contamination,1739/4/216,diffuse nebulous structure (cirrus) over whole frame
1237665127994556446,frame contamination,4576/3/257,target adjacent to a saturated bright star; cutout contaminated by its halo/spikes
1237658919070859470,frame contamination,3130/6/80,very bright saturated star huge bleed + spikes + scattered light (bottom-left); sky elevated ~0.06 in all bands
